Year of Academic Year Start,Percent of Median Family Income,Institution,Append income text,Income (family of four),Post-Aid Tuition/Fees (inflation-adjusted $),Post-aid tuition/fees as a percent of median family income
2021,Up to 40% of MFI,University of Washington,,"$41,117",$737,1.8%
2021,Up to 45% of MFI,University of Washington,,"$46,256",$737,1.6%
2021,Up to 50% of MFI,University of Washington,,"$51,396",$737,1.4%
2021,Up to 55% of MFI,University of Washington,,"$56,536",$737,1.3%
2021,Up to 60% of MFI,University of Washington,,"$61,675","$4,139",6.7%
2021,Up to 65% of MFI,University of Washington,,"$66,815","$5,273",7.9%
2021,Up to 70% of MFI,University of Washington,,"$71,954","$6,407",8.9%
2021,Up to 75% of MFI,University of Washington,,"$77,094","$9,298",12.1%
2021,Up to 100% of MFI,University of Washington,,"$102,792","$10,942",10.6%
2021,Full tuition (100% of MFI and above),University of Washington,and up,"$102,792","$12,076",11.7%
2020,Up to 40% of MFI,University of Washington,,"$39,115","$1,253",3.2%
2020,Up to 45% of MFI,University of Washington,,"$44,005","$1,253",2.8%
2020,Up to 50% of MFI,University of Washington,,"$48,894","$1,253",2.6%
2020,Up to 55% of MFI,University of Washington,,"$53,783","$1,253",2.3%
2020,Up to 60% of MFI,University of Washington,,"$58,673","$4,565",7.8%
2020,Up to 65% of MFI,University of Washington,,"$63,562","$5,669",8.9%
2020,Up to 70% of MFI,University of Washington,,"$68,452","$6,773",9.9%
2020,Up to 75% of MFI,University of Washington,,"$73,341","$9,589",13.1%
2020,Up to 100% of MFI,University of Washington,,"$97,788","$11,189",11.4%
2020,Full tuition (100% of MFI and above),University of Washington,and up,"$97,788","$12,293",12.6%
2019,Up to 40% of MFI,University of Washington,,"$37,075","$1,268",3.4%
2019,Up to 45% of MFI,University of Washington,,"$41,710","$1,268",3.0%
2019,Up to 50% of MFI,University of Washington,,"$46,344","$1,268",2.7%
2019,Up to 55% of MFI,University of Washington,,"$50,978","$4,533",8.9%
2019,Up to 60% of MFI,University of Washington,,"$55,613","$5,077",9.1%
